projectcontent_id,projectgroup_id
95756,11
95604,10
651,1
95770,11
26,1
334,2
19,13
304,2
95296,1
95344,1
18,7
22,7
95741,11
324,2
40,7
95452,12
95435,7
95227,1
95216,1
95274,1
23,7
332,2
95432,7
95809,1
374,2
80,13
95621,10
95310,1
95731,11
95239,1
95734,11
94,7
95797,1
95549,8
95446,12
437,2
95249,1
95379,1
95583,9
95546,8
70,7
72,7
55,13
338,2
95550,8
95766,11
432,2
386,2
95579,9
95341,1
392,2
385,2
52,7
95537,7
95864,13
415,2
76,14
95617,10
406,2
95534,7
16,7
95765,11
95746,11
75,13
298,2
91,1
95442,7
95423,6
95348,1
95300,1
376,2
95839,12
95363,1
95393,6
396,2
95307,1
95815,14
289,2
95237,1
95837,12
95774,11
63,7
440,2
95712,11
95568,9
302,2
343,2
95355,1
95781,11
95325,1
95874,13
95404,6
95409,6
95391,6
95398,6
95433,7
79,7
95716,11
95838,12
395,2
95754,11
450,2
26,7
91,13
95289,1
95739,11
95315,1
95443,13
95281,1
95585,9
95384,1
26500,5
328,2
314,2
95235,1
95615,10
447,2
95276,1
95608,10
95420,6
95271,1
95869,13
26503,5
290,2
449,2
95574,9
344,2
95292,1
34,1
95452,7
95832,12
358,2
20,12
95374,1
95425,6
82,7
60,13
82,1
335,2
95264,1
95750,11
95440,13
95238,1
33,7
95779,11
95323,1
441,2
95447,12
377,2
428,2
95822,14
95302,1
24,7
95228,1
95602,10
297,2
33,1
32,7
89,1
23,13
83,1
431,2
95453,7
95571,9
95215,1
95251,1
41,1
95749,11
363,2
95714,11
308,2
309,2
26,13
333,2
85,7
95223,1
95280,1
95807,1
95456,14
95782,11
365,2
60,7
95241,1
95229,1
95432,13
95444,7
95383,1
412,2
95785,1
95620,10
95364,1
95233,1
95353,1
87,7
343,13
95449,12
418,2
74,1
95385,1
95269,1
95306,1
373,2
95752,11
95293,1
421,2
95405,6
33,14
95263,1
95735,11
95826,12
95352,1
95622,10
352,2
95434,7
95772,11
95354,1
95397,6
32,1
345,2
95381,1
95808,1
95778,11
95836,12
95451,7
388,2
95270,1
25,13
372,2
95312,1
25,1
95451,12
331,2
95456,7
95388,2
58,13
40,14
95434,13
318,2
95613,10
95410,6
422,2
95217,1
95319,1
95338,1
95722,11
95401,6
95751,11
90,1
19,1
95753,11
387,2
26505,5
95226,1
95454,14
95246,1
95414,6
95441,7
95403,6
95362,1
444,2
95852,12
80,7
95776,11
404,2
305,2
94,1
70,1
383,2
95833,12
362,2
394,2
16,13
95301,1
36,7
330,2
95219,1
17,1
350,2
95282,1
95258,1
73,1
95422,6
95437,7
95812,14
84,1
29,1
95805,1
95430,6
95532,1
95534,1
359,2
20,7
321,2
95308,1
95760,11
54,7
95548,8
95266,1
301,2
36,12
95378,1
95268,1
95531,7
95283,1
95297,1
308,13
95606,10
95370,1
95732,11
95576,9
95437,13
95324,1
95759,11
95272,1
424,2
306,2
95340,1
367,2
426,2
95611,10
95284,1
95865,13
95361,1
95871,13
95,1
95359,1
95605,10
95298,1
95619,10
95320,1
95819,14
95240,1
400,2
403,2
78,1
346,2
95528,7
95358,1
452,2
95447,7
95806,1
299,2
95811,14
95350,1
95580,9
393,2
95256,1
95427,6
54,13
82,13
95407,6
37,13
59,1
357,2
95825,12
95243,1
95757,11
95424,6
18,1
316,2
322,2
95255,1
95386,1
434,2
37,7
95453,13
355,2
95336,1
95715,11
455,2
95265,1
55,7
95305,1
337,2
95285,1
95768,11
95343,1
79,1
399,2
95796,1
63,1
95875,6
368,2
73,7
95234,1
361,2
95326,1
325,2
454,2
391,2
291,2
438,2
59,7
59,13
336,2
63,13
95449,7
24,13
95429,6
95573,9
95275,1
95440,7
21,1
446,2
95299,1
652,1
95222,1
95736,11
73,13
95380,1
87,13
95417,6
83,13
95433,13
95250,1
95720,11
95862,13
95771,11
448,2
95578,9
95413,6
84,7
52,1
52,14
307,2
95612,10
95733,11
95799,1
62,7
382,2
95291,1
95247,1
95758,11
28,1
95400,6
95314,1
430,2
340,2
95537,1
40,1
397,2
88,1
95816,14
95438,7
84,13
364,2
41,14
95817,14
95547,8
348,2
95411,6
95610,10
17,13
95535,7
95618,10
36,1
329,2
295,2
95347,1
95780,11
417,2
95421,6
95372,1
95303,1
95727,11
71,1
95321,1
315,2
86,1
95399,6
95706,11
353,2
95575,9
95279,1
95872,13
95850,12
24,1
95704,11
95769,11
354,2
95245,1
95545,8
356,2
53,13
95570,9
95394,6
95821,14
95294,1
402,2
71,14
95242,1
371,2
95538,7
95367,1
95843,12
95828,12
74,14
95798,1
41,7
95267,1
442,2
95395,6
381,2
95705,11
95295,1
436,2
95581,9
405,2
95572,9
95236,1
95224,1
95436,13
419,2
378,2
93,1
95230,1
95436,7
327,2
313,2
54,1
80,1
95723,11
95322,1
95408,6
95762,11
95582,9
420,2
95763,11
19,7
95569,9
95406,6
398,2
26501,5
62,1
95450,7
95717,11
95747,11
95304,1
380,2
95392,6
95244,1
95390,6
95775,11
39,13
95356,1
83,7
95740,11
300,2
95365,1
95418,6
95835,12
95861,13
75,1
77,1
95764,11
95840,12
95730,11
95841,12
95221,1
95738,11
95290,1
320,2
413,2
95707,11
95527,7
390,2
95777,11
308,7
310,2
39,1
95377,1
311,2
384,2
95373,1
30,1
423,2
351,2
414,2
389,2
71,7
57,1
95339,1
95334,1
95428,6
26504,5
95532,7
75,7
95443,7
95287,1
95607,10
95357,1
95710,11
95309,1
95366,1
401,2
95726,11
60,1
95447,1
95748,11
95342,1
95214,1
317,2
95820,14
95286,1
95544,8
95316,1
95600,10
95830,12
95538,1
408,2
95438,13
95376,1
95784,1
95262,1
95278,1
95755,11
95360,1
39,7
95442,13
95445,12
25,7
95708,11
95311,1
445,2
451,2
94,13
26506,5
95389,2
17,7
95745,11
95719,11
296,2
366,2
95213,1
427,2
95601,10
18,13
95349,1
416,2
292,2
85,12
433,2
76,1
95603,10
85,1
22,1
95551,8
95818,14
95783,1
95584,9
95614,10
95232,1
95351,1
435,2
95435,13
95845,12
409,2
95773,11
95535,1
95396,6
95369,1
95,13
95703,11
95454,7
56,1
95737,11
95412,6
95729,11
38,1
456,2
35,1
95724,11
95337,1
91,7
411,2
95,7
453,2
95616,10
439,2
95375,1
326,2
95742,11
650,1
95831,12
323,2
21,14
87,1
95844,12
72,14
95814,14
95368,1
443,2
21,7
95431,6
95528,1
293,2
95371,1
95743,11
379,2
369,2
76,7
95761,11
95577,9
23,1
425,2
95709,11
312,2
26507,5
26502,5
95273,1
95609,10
95402,6
95725,11
360,2
410,2
95419,6
95335,1
95721,11
95445,7
95254,1
349,2
95744,11
95382,1
95277,1
95231,1
95728,11
95767,11
58,7
55,1
347,2
95257,1
342,2
407,2
95346,1
303,2
53,1
95851,12
95860,13
95426,6
81,1
370,2
27,1
32,12
95829,12
319,2
95345,1
294,2
95252,1
95288,1
95318,1
95225,1
375,2
37,1
92,1
58,1
72,1
95218,1
95795,1
95446,7
95834,15
31,1
95711,11
95863,13
339,2
95718,11
95827,12
95317,1
16,1
95713,11
95441,13
95313,1
457,2
95813,14
79,13
62,13
341,2
20,1
95248,1
53,7
95531,1
429,2
95527,13
95919,1
95924,6
95926,6
95927,6
95927,13
95873,13
